epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.338,1.73246,4.20718,1.38499,0.01277,0.27952,0.05063,0.02623,1.40336,4.22571,1.19893,0.0001,0.0001,0.0001
2,345.449,1.71367,3.0634,1.29244,0.01953,0.50751,0.11303,0.05532,1.41432,4.0105,1.15765,0.00018921,0.00018921,0.00018921
3,537.79,1.72451,2.37141,1.30512,0.01946,0.60411,0.16028,0.07637,1.38317,3.85343,1.16288,0.00025664,0.00025664,0.00025664
4,667.838,1.66235,2.05131,1.26925,0.02267,0.73308,0.33321,0.17744,1.40694,3.66887,1.21998,0.00030229,0.00030229,0.00030229
5,793.414,1.63481,1.85855,1.24988,0.78678,0.07053,0.39168,0.20466,1.4577,3.48441,1.27012,0.00032616,0.00032616,0.00032616
6,923.238,1.58858,1.75415,1.27423,0.79417,0.14894,0.51413,0.28012,1.44729,3.14273,1.26083,0.00032825,0.00032825,0.00032825
7,1070.46,1.59703,1.67189,1.23289,0.84088,0.19136,0.57144,0.3212,1.41536,2.98928,1.22488,0.00030856,0.00030856,0.00030856
8,1186.78,1.54994,1.58999,1.22534,0.80758,0.47364,0.66548,0.37323,1.41811,2.51622,1.23761,0.00026709,0.00026709,0.00026709
9,1309.85,1.50624,1.5426,1.20613,0.81657,0.56459,0.70068,0.3936,1.38793,2.3796,1.21494,0.00020384,0.00020384,0.00020384
10,1430.81,1.50131,1.48871,1.19446,0.81432,0.66105,0.73742,0.41659,1.37692,2.18489,1.21019,0.000109,0.000109,0.000109
